original_title,runtime,tagline,vote_average
Avatar,162,Enter the World of Pandora.,7.2
Pirates of the Caribbean: At World's End,169,At the end of the world  the adventure begins.,6.9
Spectre,148,A Plan No One Escapes,6.3
The Dark Knight Rises,165,The Legend Ends,7.6
John Carter,132,Lost in our world  found in another.,6.1
Spider-Man 3,139,The battle within.,5.9
Tangled,100,They're taking adventure to new lengths.,7.4
Avengers: Age of Ultron,141,A New Age Has Come.,7.3
Harry Potter and the Half-Blood Prince,153,Dark Secrets Revealed,7.4
Batman v Superman: Dawn of Justice,151,Justice or revenge,5.7
Superman Returns,154,Superman,5.4
Quantum of Solace,106,For love  for hate  for justice  for revenge.,6.1
Pirates of the Caribbean: Dead Man's Chest,151,Jack is back!,7
The Lone Ranger,149,Never Take Off the Mask,5.9
Man of Steel,143,You will believe that a man can fly.,6.5
The Chronicles of Narnia: Prince Caspian,150,Hope has a new face.,6.3
The Avengers,143,Some assembly required.,7.4
Pirates of the Caribbean: On Stranger Tides,136,Live Forever Or Die Trying.,6.4
Men in Black 3,106,They are back... in time.,6.2
The Hobbit: The Battle of the Five Armies,144,Witness the defining chapter of the Middle-Earth saga,7.1
The Amazing Spider-Man,136,The untold story begins.,6.5
Robin Hood,140,Rise and rise again  until lambs become lions.,6.2
The Hobbit: The Desolation of Smaug,161,Beyond darkness... beyond desolation... lies the greatest danger of all.,7.6
The Golden Compass,113,There are worlds beyond our own - the compass will show the way.,5.8
King Kong,187,The eighth wonder of the world.,6.6
Titanic,194,Nothing on Earth could come between them.,7.5
Captain America: Civil War,147,Divided We Fall,7.1
Battleship,131,The Battle for Earth Begins at Sea,5.5
Jurassic World,124,The park is open.,6.5
Skyfall,143,Think on your sins.,6.9
Spider-Man 2,127,There's a hero in all of us.,6.7
Iron Man 3,130,Unleash the power behind the armor.,6.8
Alice in Wonderland,108,You're invited to a very important date.,6.4
X-Men: The Last Stand,104,Take a Stand,6.3
Monsters University,104,School never looked this scary.,7
Transformers: Revenge of the Fallen,150,Revenge is coming.,6
Transformers: Age of Extinction,165,This is not war. It's extinction.,5.8
Oz: The Great and Powerful,130,In Oz  nothing is what it seems,5.7
The Amazing Spider-Man 2,142,No more secrets.,6.5
TRON: Legacy,125,The Game Has Changed.,6.3
Cars 2,106,Ka-ciao!,5.8
Green Lantern,114,In our darkest hour  there will be light.,5.1
Toy Story 3,103,No toy gets left behind.,7.6
Terminator Salvation,115,The End Begins.,5.9
Furious 7,137,Vengeance Hits Home,7.3
World War Z,116,Remember Philly!,6.7
X-Men: Days of Future Past,131,To save the future  they must alter the past,7.5
Star Trek Into Darkness,132,Earth Will Fall,7.4
Jack the Giant Slayer,114,Prepare for a giant adventure,5.5
The Great Gatsby,143,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,7.3
Prince of Persia: The Sands of Time,116,Defy the Future,6.2
Pacific Rim,131,To Fight Monsters  We Created Monsters,6.7
Transformers: Dark of the Moon,154,The invasion we always feared. An enemy we never expected.,6.1
Indiana Jones and the Kingdom of the Crystal Skull,122,The adventure continues . . .,5.7
The Good Dinosaur,93,Little Arms With Big Attitude,6.6
Brave,93,Change your fate.,6.7
Star Trek Beyond,122,xyz,6.6
WALL·E,98,An adventure beyond the ordinar-E.,7.8
Rush Hour 3,91,The Rush Is On!,6.1
2012,158,We Were Warned.,5.6
A Christmas Carol,96,Season's Greedings,6.6
Jupiter Ascending,124,Expand your universe.,5.2
The Legend of Tarzan,109,Human. Nature.,5.5
The Chronicles of Narnia: The Lion  the Witch and the Wardrobe,143,Evil Has Reigned For 100 Years...,6.7
X-Men: Apocalypse,144,Only the strong will survive,6.4
The Dark Knight,152,Why So Serious?,8.2
Up,96,xyz,7.7
Monsters vs Aliens,94,When aliens attack  monsters fight back.,6
Iron Man,126,Heroes aren't born. They're built.,7.4
Hugo,126,One of the most legendary directors of our time takes you on an extraordinary adventure.,7
Wild Wild West,106,It's a whole new west.,5.1
The Mummy: Tomb of the Dragon Emperor,112,A New Evil Awakens.,5.2
Suicide Squad,123,Worst Heroes Ever,5.9
Evan Almighty,96,A comedy of biblical proportions,5.3
Edge of Tomorrow,113,Live  Die  Repeat,7.6
Waterworld,135,Beyond the horizon lies the secret to a new beginning.,5.9
